x1lliihq 4,x1lliihq 11,x1lliihq 12,x1lliihq 13
Putrajaya Challenge Park — known as one of the toughest skateparks in Malaysia.,"When the right Fundamentals you commit to a challenging environment, you build real control, resilience, and confidence.",,Train smart. Train consistent. Progress with purpose.
"In the section comment they trying hard to make the Malay and orang Asli are same.. How come Jawa, Bugis, Rawa, Minang, Aceh just came to Peninsular that become Malay same to Orang Asli ? There is no way they are Orang Asli in just 1 month in Malaysia.. So many riding name of Orang Asli to become native",,Malaysia Threads,
"We are still hiring Domestic Workers for QATAR SAUDI DUBAI BAHRAIN KUWAIT SINGAPORE MALAYSIA HONGKONG.
pm for more details.",,,
We’re Hiring – Multiple Tech & Ops Roles (Global Platform),"📍 KL Sentral | Fully Onsite
📝 1‑yr contract (renewable)
🌍 Global exposure | 🗣 Mandarin required
 Open Roles:
✅ Junior DevOps (Fresh Grad OK)
✅ Platform Ops / SRE (2–5 yrs)
✅ Payment Operations Manager (8+ yrs)
✅ Junior Data Engineer
✅ AI Data Engineer",Malaysia Threads,"📩 Apply / Enquire:
Email: nurfatihha.r@manpower.com.my
WhatsApp:"
anyone nak cat1 tak?,,5sos Malaysia,
Cuti Cuti Malaysia 2026.,,,
malaysia★,,,
We gotta lock in now,#asean #southeastasia #malaysia #indonesia #singapore,,
"HELLO THREADS ☆彡 I’m a small artist from KL, Malaysia! 
(˶˃ ᵕ ˂˶)> looking to connect with girlies who love pop culture & all things whimsical from this area please >_<","I’ll be participating in the upcoming KLIF so see y’all at GMBB, KL from 1–3 May! i’ve got lots of whimsical art prints, bundles, and products prepared. i’ll be giving out white rabbit candies too ૮꒰ྀི σ̴̶̷̤ . σ̴̶̷̤ ꒱ྀིა",Malaysian Artist,
Malaysia Penang 🇲🇾,,malaysia,
Malaysia 🇲🇾,,,
MANIFESTING,,5sos live in malaysia,
📍Malaysia,,,
"not battling today! jiayo everyone else! sending loads of ticket luck dust your way. i had great luck yesterday :,)",,5sos Malaysia,
Internship Program with RM1k and above allowance,"(The information has been gathered thru Thread, pls carry out ur own due diligent for confirmation)",,"1. Dell 4.5k
2. ⁠Bursa Malaysia 2k
3. ⁠Mckinsey Bain Bcg 3.5-4k
4. ⁠PWC 1.5k
5. ⁠Rakuten Trade 3.8k
6. ⁠Infineon 1.7k
7. ⁠Misc 2k
8. ⁠CoinGecko 2.1k
9. ⁠Osram 1.9k
10. ⁠Petronas 1-2k
11. ⁠Bank Negara Malaysia 1.7k
12. ⁠Dassault System >4k
13. ⁠RBC 2.3k
14. Bank Islam 1k
15. ⁠CXLGroup 1k
16. ⁠Acerbic Synergy 0.7-1k
17. Sony 1k
18. ⁠SLB 1.2k"
#malaysia #kualalumpur 🇲🇾,,,
"Just 5 minutes after the General Sale opened, people are already reselling their tickets on this app. If you genuinely double booked and are letting them go at original price + taxes, that’s fair. But those marking it up by 100–200? Honestly, that’s just weird scalper behaviour.",,simple plan malaysia,
PDC ASIAN TOUR MALAYSIA,"TOUR 9 - 128
TOUR 10 - 64
TOUR 11 - 32
TOUR 12 - 128",,NOW FOCUS ON JB FEST
Malaysia🇲🇾🇲🇾,,,
#5SOSINKL,"Left with some VIP STANDING, 
CAT4 & CAT 5",5sos Malaysia,DM IF INTERESTED ✅️
"Next rave: Verknipt Malaysia 🇲🇾
Corporate girl by day, techno by night",#verkniptmalaysia #technogirl #rave #klnight #evolutionasia,,
"📍Kuala Lumpur, Malaysia",,,
"Finally, I’m done with my task for Miss Srikandi Malaysia 2026 🤍✨","A huge thank you to my amazing team for the collaboration this is just the beginning, more to come inshaAllah 🤍",miss srikandi malaysia 2026,"If you’ve been following my journey, please show some love by liking, reposting, and dropping a comment as a sign of support 🫶✨ it truly means a lot and keeps me going dont forget to like on my Instagram too !"
"Last week: Nee Malaysia-kaaran, unaku yedhuku India politics? 🙄
Today: Vetri Namadhe Historical win for Thalapathy 🥳
If I'm an outsider for supporting him, how are you a fan for celebrating only after he won? Same people, different tune. Hypocrisy-ku oru limit illaya? 👋🔥 #TVK2026",,tvk2026,
Tribute to my former workplace as it prepares to move to a new Head Office at Merdeka 118 this month.,,,
Red walls or blue skies—which one is your favorite part of this view? 📸👇,Painting the town red (literally) in Melaka. 🎨🇲🇾,,#summervibes #followforfollowback #travelgram #malaysia #insta
Hey guys! I’m Sehran—pretty new to Threads. I’ve been diving for 6+ years and somehow ended up becoming a DivePro along the way (still feels like a blessing in disguise). I also shoot underwater videos just because I love it.,"These days I’m mostly chasing good dives and clear water, and every now and then I put together small-group trips—more dives, more chill.",scubadiving,"If you know me from anywhere, drop a comment!!
Would be sick to get underwater together 🥳"
One(1) Postgraduate Opportunity is available!,"We are seeking for a full-time MSc student to work on a project at the Institute of Bioscience, Universiti Putra Malaysia.",Postgraduate Study,Please email your CV and academic transcripts highlighting your research skills and experiences to Dr. Mohamad Azzam Mohd Sayuti (azzamsayuti@upm.edu.my) before 18th May 2026. (Or until the position is filled!)
[GLOBAL BRAND AMBASSADOR],We welcome Jackson Wang as the Global Brand Ambassador for KKV Global in Malaysia🇲🇾,,"His fans, come and greet him at:"
[ 5 SECONDS OF SUMMER : EVERYONE’S A STAR WORLD TOUR IN KUALA LUMPUR,4X CAT 5,5sos Malaysia,"Dm if interested 
Serious buyers only 
#5SOSinKL"
"I have extra 5SOS tixs in Kl
Anyone nak can PM","2× VIP seating 
2× VIP standing 
2x CAT 3",5sos Malaysia,"Selling at original price 
Serious buyers only
Trusted 💯
Scammers and scalpers stay away ❗️
Pm to buy"
Why dah discontinued 🥹🥹🥹,,cbtl malaysia,
9th GEWINN MALAYSIA OPEN TAEKWANDO INTERNATIONAL CHAMPIONSHIP 2026,"Sparing team junior category - Gold Medal
Sparing team Senior category - Silver Medal
Hud individu sparing Bantam category - Gold Meda
Noah individu sparing Fly category - Silver medal
Noah individu VR - Bronze
Hud individu VR - kecundang awal 😝",,"Overall group champion 1st Runner UP
Firdaus Fighter Mix Academy"
"4/29-4/30 Singapore🇸🇬
📍Merlion Park
📍Lau pa Sat
📍Ya Kun Kaya Toast","4/30-5/4 Perth in Australia 🇦🇺
📍Rottnest Island
📍Pinnacles desert
📍Caversham Wildlife Park
📍Swan Valley",,"5/4-5/5 Malaysia 🇲🇾 
📍 Nam Heong Chicken Rice
📍 Merdeka 118
📍 Lai Foong Lala Noodles, Kuala Lumpur"
📣MYShotties‼️,🇲🇾LNGSHOTMY is searching for..,LNGSHOT,"- Updates/news team (FULL)
- Design team x2
- Weverse translation team x1"
"same place, new growth 
#intern #life #growth #fyp #malaysia",,,
"One of the best concerts in Malaysia this 2026, 1000/10!  Ter-menangis time Kembali Bersama 😭 Please come back to Malaysia soon",,Mahalini Live Concert KL,
All the best battle tix esok 🫶🏻,,5sos Malaysia,
📢 POS MALAYSIA MINI IS HIRING❗,"Position: Customer Service Assistant (RETAIL)
*Full Time ONLY
Start Work: Immediately",KerjaKosong,"📍 Location: IOI City Mall, POS Malaysia Mini
🗓️ Working Days: Monday - Saturday
🕙 Working Hours: 10am - 7pm (1 hour break)"
Pm adik angkat srs....,,Malaysia threds,
"Hi artist on thread,this is my first attempt to draw building in Malaysia (GIGI COFFE,Taiping)hope u like it 🙂‍↕️",,,
"Got my 21KM for the Malaysia Marathon and Rock Zone secured for Simple Plan. What a Monday morning battle 🤣🔥 Register dulu, menyesal kemudian 😭🥹🙏",,,
Beauty & the beast 🩷🐺❄️,Malaysia Autoshow 2026 🏁,,
"A.B.U Trading Card Game : Pemuda UMNO Malaysia edition! Lets go! 🔴⚡️
#P090Bera",,UMNO,
Swag uncle with a blonde hair🤩🔥 #sungaipetani #barbershop #kedah #explore #malaysia,,,
Malaysia is an Islamic country a thread.,"Malaysia is a secular country? No. Hybrid yes.
Dual legal system (civil & syariah law).",Malaysia Threads,Malaysia is never known as secular country ❌
Meet official.apink2011 ❤️😍 See u again at Malaysia❤️ #apink #theoriginapinkinkl #wishlist,,,
#malaysia #trending #pakistan #india #fyp,,,
week 2 schedule is OUT! 🎡✨,your reminder to mark these malaysia timings so you don’t missed the youtube stream❤️‍🔥😭,coachella,"Justin Bieber - 2:25pm (Sunday)
BIGBANG - 1:30pm (Monday)"
🔥 From Malaysia with respect & pride 🇲🇾❤️🇮🇳,Congratulations to C. Joseph Vijay on this historic achievement — a powerful step toward a brighter future for Tamil Nadu!,,"As proud fans of Ajith Kumar, we stand for unity, respect, and strong leadership that puts people first 💯"
Malaysia🇲🇾🇲🇾,,,
"hello warga threads ! i ada 2 tickets standing zone  mcr to let go. i believe these tickets still got demands, so i need to sell it a bit higher than the original prices bcs i need the money for a treatment 😕. we can meet up for more details and feel free to slide into dm ! arigato gozaimasu 🙏🏻🫶🏻",,mcr live in malaysia,
2-5-2026#ipoh#malaysia,,,
"Kuala Lumpur 😎
Malaysia",,,
Malaysia🇲🇾,,,
Lost in 📍 Kuala Lumpur 🌃 🇲🇾 #kualalumpur #travelphotography #exploreasia #malaysia,,,
I sell 💯authentic cosmetics/skincare on rednote since 2023,,Personal shopper malaysia,
Malaysia: Truly Asia 🗺️❤️,[Lost in the beauty of Malaysia. 🇲🇾✨],,"#day4night 
#twintower 
#malaysiannight 
#wonderful_places_to_go 
#goodday❤️"
"Malaysia photos done. See u on the next trip 🤭
.
.
.
.
#malaysia #trip #ootd #streetwear #lifestyle",,,
Malaysia trip 🇲🇾,,,
Malaysia trip,,,
"Aku rasa tak adil la anak dia buat macam ni kat bapak dia. Nak kata ayah dia x bagi nafkah ? Tapi bapak dia bagi rumah yg selesa n besar , rumah 7 bilik kot . Meanwhile bapak dia ? Korang tngok la gambar last tu . Duk kat pondok je weh . Bapak dia kena tampil . Kesian la ramai giler kecam padahal x dngr lagi cerita dari pihak bapak dia. Ko bayangkan lah , anak2 buat kacau masa akad nikah siap buat live ye ! Satu Malaysia tngok ! sape je tak hangin kan??? Pastu menangis meraung mintak simpati .",,,
"Malaysia Marathon here I come, reason Aku join 10km, sebab month yg Sama Aku lari kat Penang Bridge Cultural night Run 21km. Pen3 COT 2.5hour cruise and enjoying the early morning of KL. 
#rottenmotorcycle #COROSMalaysia #NoHumanIsLimited",,,
Done register Malaysia Marathon & LIHM💪🏻.,,Running Threads,
"To further enhance the safety of Kuala Lumpur Malaysia, 10,000 High Resolution with Biometric Facial Recognition Cctvs was installed at various part of heart❤️ of KL City👍🏻👍🏻",,VisitMalaysia2026,
Thank you,,,
"Finally got mine! Anyone yang pergi sorang or seat dekat, let's be friend 🙂‍↕️",,5sos Malaysia,
"YALLL SEE YOU ON 17TH
THANKS TO",,5sos Malaysia,
🇲🇾 MALAYSIA | REMOTE FREELANCE ROLE,"Position: PDF to Word Typist
Task: Manually retype PDF screenshots into Word (copy-paste not allowed)
Translation Jobs
Data Entry (Retyping)
Pay Range: $2,050-$3,000
Duration: 2–3 days
Experience: Entry-level welcome
Work Type: Fully remote",Malaysia Threads,"Apply now to get started!
#Malaysia,#India,#Spain,#morocco,#US"
Malaysia is so peaceful and relaxing 🇲🇾⛱️ #malaysia #beach #relaxing #kuantan,,,
Malaysia,,,
Malaysia 🇲🇾❤️‍🔥,,,
Malaysia ❤️,,,
Malaysia 🇲🇾 ✈️✈️,,,
Sakinah ber’Tarung’ di malam gala! 🫣😳,"Tarung: Unforgiven mengisahkan Hatta, bekas juara silat yang terpaksa kembali ke dunia pertarungan demi menyelamatkan kakaknya dalam dunia yang tiada belas dan penuh taruhan.",,"Dibintangi Mierul Aiman, Aedy Ashraf, Zul Ariffin, Amir Ahnaf, Bront Palarae, Azira Shafinaz dan Sharifah Sakinah."
"Bangsar South area
RM1.5k siap WiFi 👀",📍 Cubic Botanical Bangsar South,Malaysia Threads,
bismillah 🥹,,5sos Malaysia,
"Secured x43 tickets for artist presale today!✨
NO EXTRA ❌ we’re not reseller","7x VIP STANDING
6x CAT1
7x CAT2
5x CAT3
7x CAT4
11x CAT5",5sos in malaysia,Thank you for trusting us 💗
Pagi Malaysia,,,
- Always Thalapathy Daww 💛❤️,"What a Historic Victory in TamilNadu… Real Goosebumps 🔥 
Wishing Thalapathy Vijay Strength, Wisdom & Success In Serving The People of Tamil Nadu…. ✨",,"From Your Childhood Fans , Malaysia 🇲🇾 
Chumaaa Blast’u Blast’u 💥 
.
.
#ThalaPathyVijay #Vijay #TN2026 #ChiefMinister TamilNadu"
Malaysia 🇲🇾,,,
"law students/lawyers in Malaysia, do you have any regrets pursuing law and what is your advice for future law students?",,law degree,
"They came from all around Malaysia. Penang, Kedah, even KL. Just to show up for the run & join the community. Something about women choosing to wake up early, run/exercise… it’s inspiring! 🩷",,,
Kerja kosong guys,Please help me to repost.,Malaysia Threads,
Selamat pagi! Any Malaysians with JLPT N2/N1 or native Japanese looking for opportunities in Malaysia? We’d love to connect with you!,Simply fill in your details via the QR Code below 👇,,Our Japanese recruiters will reach out to match you with the most suitable opportunities.
"I understand that you have a lot of stories to tell your friends on your way back home in the LRT. But come on la, perlu ke loudspeaker & literally talking so loudly…",,Malaysia Threads,
BOOOO GOLIVE 👎🏼👎🏼👎🏼 #5sos,,5sos Malaysia,
💻 BM AUDIO TRANSCRIBER,REMOTE,Malaysia Threads,"📌 Responsibilities:
• Convert BM audio to text
• Basic proofreading
• Follow guidelines"
Malaysia 🇲🇾,,,
Malaysia 🇲🇾,,,
Malaysia 🇲🇾,,,
Working Days = Labour Days,,Malaysia Threads,
"Position: Manager in Training – Halal Pizza Restaurant, Singapore 🇸🇬 
Interview Mode: Online 🧑🏻‍💻
 Location: Across Singapore Salary: Up to SGD 3,290/month 
Working Hours: 44 hours per week, 6 days a weeks
 Bond Services: 1 year",Eligibility: Applicants must hold a Bachelor's Degree from one of Malaysia’s Top 5 Universities: (UM|UKM|USM|UPM|UTM),Job Vacancy,"Requirements: Bachelor’s Degree from one of the listed universities Open Gender| open to indian only, aged 25 and below Can daily travel JB - SG"
"Good morning from Malaysia.
God bless you all 🙏❤️💐✨",,,
“You attract what you fear”,AAAAAAAAA TAKUTNYA DENGAN VIP FRONT ROW BTS ARIRANG WORLD TOUR 2026 IN MALAYSIA 12 DECEMBER 2026😣,,
"Built, not bought.
Best Sports Car • Best GTR ✌️
Best Show Car Look ✌️
Malaysia Auto Fest 2026
Godzilla did it 🏆
#gtr35 #ｇｔｒ #r35 #libertywalk #builtnotbought",,,
Let's have a productive day 🌹❤️,,Malaysia Threads,
Malaysia...,,,
Hello Threaders! 🫡,I'm currently looking for individuals who are passionate in System Support/IT Support position for an IT software industry company🧑🏻‍💻👩🏻‍💻,,"🕛 Rotational shift-based.
🏠 Fully work from home!
📍Physical office building in PJ area.
🇲🇾 Job is based in Malaysia."
"Yesterday activity , Malaysia's twins tower 
. 
. 
. 
. 
.",#malaysia #twintowermalaysia🇲🇾 #selfie #vacation,,
"Kuala Lumpur, Malaysia!🇲🇾",,,
"My roots are in South India—I’m a proud Tamilian. I was born in Malaysia and settled in Australia, but my pull is back to India. As I launch our business globally, here I am, coming to India to meet my community and find leaders for my business. Let’s meet WhatsApp +61425317715",,,
#Singapur  to Malaysia  # Cruise  me swimming P00l # full tame enjoy #,,,
Melaka Malaysia🇲🇾,,,
not eid anymore but eid day 1!,#malaysia #explore #reels #wasian #outfit,,
📍Malaysia🇲🇾,,,
Terengganu Marathon 2026🏃🏻,"Kategori : 21KM Men’s Open Malaysia
Masa : 1:31:41",corospacepro,"Tak target apa-apa. Just training for long run. Kadang bukan hari kita untuk laju, tapi hari untuk belajar. Sakit tu sementara, but proud myself sebab tak give up. As long as you finish what you started. 🏃‍♂️ Trust the process 💪🏻 and trust yourself 🤙🏻."
Anyone wanna work together help me sell a rubber plantation in Jasin?,,real estate Malaysia,
5SOSinKL,Almost done 6/8 tickets secured 😍💯,5sos Malaysia,Still working for others 💯
Malaysia 🇲🇾❤️,,,
"Letting go 1 VIP Standing
Rfs; got VIP seated 😭🥹🥹
Trusted, dm if int",,5sos Malaysia,
"“Where are you from?”
“Malaysia”
“Ohhh so you speak Malay?”
“Yea”
“why you speaking English so well??”
“hmm because i learn that too?😭”
“So you speak Malay and English?”
“No, Mandarin and Cantonese too”
“Excuse me? How??”
“Because I am Chinese??🫨” 
“You are Chinese??” 
Guess what happen next",,,
"Alhamdulillah, tidur lena! ANYONE SECTION 402??? Let’s be friend HAHAHA",,5sos Malaysia,
"Kerja mcm aku ni hanya ada 3 peristiwa yg akan berjumpa kwn2..ada kenduri,ada event & kematian..korang plak cmner?",,Malaysia Threads,
"yesterday i saw my oomf say that the winners were seated upstairs and damn i just found the winner's pov today. this is so unfair. people spent money to join and win, and this is how you treat them? somersby gave influencers very special treatment when some of them don't even really know who yeonjun is. i'm so disappointed seeing winners being treated this badly. the management overall was really bad, they should know how big yeonjun is in malaysia.",Edited,"而且这个小小的区域 硬塞大概 40 个人（还包括另外20个event guest）
现场所有 winner 也不爽 要求找负责人沟通 结果不但没有解决问题，还被一位黄头发工作人员蛐蛐我们",然后我也很很幸运抽中了 本来真的很期待 但是结果就是两回事
🎧 PART-TIME BM TRANSCRIPTION,REMOTE | FLEXIBLE HOURS,Malaysia Threads,"📌 Job Scope:
• Transcribe Bahasa Malaysia audio files
• Edit minor grammar mistakes
• Ensure accuracy"
Yg free je,,Malaysia Threads,
"马来西亚再见
​Goodbye Malaysia",,,
Malaysia 🇲🇾,,,
“im so in love with malaysia so i chose that country to shoot my mv”,,,
Did u miss PSP? Here some of my fav games 🎯😁,,Malaysia Threads,
"Alhamdullilah guna different browser and dapat VIP seating seat sebelah2 for me and my husb , walaupun target nak VIP standing hehe",SEE YOU MALUM🤍,5sos Malaysia,
"Rekap Dokumentasi 
Program Student Immersion 2026 
Go to Singapore - Malaysia
 28 April - 2 Mei 2026",,,
"In 2025, I traveled across Thailand, Malaysia, Singapore, China, Indonesia, and the Philippines, meeting and photographing 35 followers.",This is Part 2 of Surprising My Followers in 2025. Part 1 is in my latest post.,,"I only truly realized the impact of my work when people told me these videos brought them comfort and healing.
That humbled me deeply."
Malaysia Marathon HM lai ✅,,malaysia marathon 2026,
"Spoke to two medical students attached to my OT today. Both are already applying for housemanship abroad. Neither plans to work in Malaysia after they graduate. This isn’t new.
Over the past few months, I’ve had similar conversations with many students attaching to us. Almost none of them plan to continue their housemanship in Malaysia. When I ask why, their answers are disturbingly consistent:
“We’ve read too many horror stories about KKM on social media.””We don’t want to go through that.” 1️⃣",,,
Still ada EXTRA SLOTT gaiss!,,5sos live in malaysia,
5 sos in KL is here,Anyone nak can PM All cats available(maximum of 3 each) Serious buyers only. Original price,5sos Malaysia,
Malaysia🇲🇾,,,
Malaysia,,,
"Kuala Lumpur, Malaysia",,,
From Malaysia ❤️🥀,,,
back Malaysia after 10 years,,,
Malaysia 🇲🇾✨,,,
"Hi, WTS
5SOS: EVERYONE’S A STAR! WORLD TOUR in Kuala Lumpur
2x VIP Standing 
2x VIP seated
2x CAT 1 
2x CAT 2
Dm if interested 
Serious buyer only",,5sos Malaysia,
"Kuala Lumpur, Malaysia",,,
"I am from Pakistan 
Butt I work in Malaysia 
My eag 25
I don't like smoking 
I like dreak 
I am single",,,
Ni lagi Paduuhhhh dari Tomorrow Land bro !!! Korang nak kecam ??? Mampus pi lah kat koranggg !!! Terbaikkk rahhh Malaysia Madani !!! We Are Enjoy !!!! Kubur masing-masing brooo !!! Jangan nak menyibuk kubur orang !!! Tgk diri kau dulu ok !!! Kalau kita orang kena bala ... korang kena sekali kan ? Sooo whattt !!!??? Padannlaa muka korang 🤣🤣🤣,,Rain Rave KL,
"Wts
5SOS: EVERYONE’S A STAR! WORLD TOUR in Kuala Lumpur","2x VIP seated
2x CAT 1 
2x CAT 2
Side by side ke
Dm if interested 
Trusted ya",5sos Malaysia,"#EveryonesAStarWorldTourInKL
#5SOSinMY #5SOSinKL #5SECONDSOFSUMMER"
the more I read threads from 5sos fans' experience on the artist presale from Malaysia a while ago the more I get sooo stressed and anxious HAHA,,,
"Rain rave hits different 🌧️⚡️ Really enjoyed every moment with you all and thanks for the support 🖤
.
.
Thanks for the opportunity",,,
Malaysia 🇲🇾,,,
"Anyone nak tickets for 5SOS IN KL
2× VIP seating 
2× VIP standing 
2× cat 3 
2× Cat 5 ❌️❌️❌️SOLD 
Dm if interested in the tickets 
Original price 
Only serious buyers",,5sos Malaysia,
"About Last Game with #semvet FC ⚽
Friendly 💯 #football #malaysia 
🇲🇾🇹🇳🦅✔️",,,
Beautiful Kuala Lumpur View from 28th Floor Hotel Room 🇲🇾 ❤️| Malaysia Travel Vlog,#KualaLumpur #Malaysia #KLView #KualaLumpurView #MalaysiaVlog,,
30 / Just sharing as an aspiration and reminder that humble beginnings can lead to amazing places.,"2015 — Junior Project Engineer, Muhibbah Steel
2016 — Field Engineer, Schlumberger — Norway
2018 — Field Engineer, Halliburton — Malaysia, Brunei
2023 — Senior Sales Eng, UZMA — Malaysia
2024 — Senior Field Specialist, Baker Hughes — Australia 🇦🇺",careergrowth,"Started with RM3.5k basic back in 2015.
Now earning 5 figures, but more than that, earning experiences, lessons, and strength I never imagined I’d have."
VIP standing tak available kereee kejap nyaaaaa,,5sos Malaysia,
Malaysia 🇲🇾✨,,,
Malaysia trip.🇲🇾,,,
Malaysia🙃,,,
Malaysia🇲🇾,,,
malaysia,,,
Malaysia 🇲🇾,,,
Malaysia,,Singapore Threads,
After years bandjannabi is finally coming to Malaysia!,"The South Korean indie rock band recently announced their “Sweat & Stardust” Asia Tour, which includes shows in Tokyo, Singapore, Kuala Lumpur and more.",,"Jannabi will perform in KL on 21st August 2026 (Friday) at Zepp Kuala Lumpur, marking their first show here."
malaysia🤫🤫,,,
Malaysia 🇲🇾,,,
"5SOS Tickets in KL - Selling
Looking to sell the following tickets for 5SOS in Kuala Lumpur:
•  2× VIP Seating
•  2× VIP Standing
•  3× Category 5
•  2× Category 3
Price: Original price + RM5 only.
Serious buyers only.
DM me if you’re interested!",,5sos Malaysia,
"Nak kenal lelaki tapi segan lak😅 sebab dah lame single, end then tak tahu macam mana nak start hehe",,Malaysia Threads,
"UNTUK MOTHERSDAY!!!!
bunga fresh and soap flower
area sp and penang
pm cpt !!!!
9/5 kita close ordee",,Penang Malaysia,
Welcome to Malaysia🌏,,,
Little paris malaysia 🇲🇾//family🫶🏻🤍,,,
I’m leaving home for the coastline…🌊☀️🐚,#beach #beachvibes #coastlife #beachoutfit #chatpate,,"{langkawi, malaysia, beach looks, beach outfits, yellow tops, myntra finds, H&M, beach look, beach vibe, 2026}"
Malaysia 🇲🇾,,,
Melaka Malaysia💕,,,
Just being myself #fyp #selflove #malaysia #india #kl,,,
Malaysia 🇲🇾❤️,,,
